Student ID, First Name, Last Name, Date Of Birth, ClassNo, GPA
20203305,fn-Hmuzhpxxt,ln-Nufu,2000-03-07,C404,3.92
20202672,fn-Clpe,ln-Pecebjhrwl,1995-12-06,C403,1.94
20192772,fn-Wensuniq,ln-Cduwimb,2008-04-23,C204,2.96
20182133,fn-Pqmj,ln-Eqnqc,2002-09-17,C403,0.18
20194037,fn-Qxh,ln-Femqzygfy,2004-07-15,C505,2.94
20193019,fn-Pgulco,ln-Xdl,2002-12-10,C101,2.66
20192902,fn-Ricdpo,ln-Luhjjpd,1995-10-26,C403,2.27
20185524,fn-Nmurfxcr,ln-Wosw,1993-10-12,C101,2.24
20191694,fn-Dlunhjksz,ln-Ssufsucxbf,2010-11-17,C102,2.3
20191404,fn-Zpnbcgdo,ln-Nusvzz,2001-05-15,C205,3.92
20193770,fn-Dtgshryo,ln-Bhh,2006-10-23,C403,2.68
20203832,fn-Oghjnohgfc,ln-Nfztw,1990-05-04,C202,3.33
20194405,fn-Vymyqmgxel,ln-Ihsuoz,2000-10-27,C205,3.66
20202755,fn-Ntdcve,ln-Gokbsenbr,2010-10-16,C604,4.0
20195751,fn-Ckwhy,ln-Nfel,2004-09-23,C102,2.46
20184444,fn-Fizcpdkvl,ln-Grrvlgsp,1992-02-16,C305,3.78
20202833,fn-Hvtms,ln-Wtlyzjtdg,2010-07-09,C103,3.86
20185077,fn-Tlmjt,ln-Zdwzzkm,2004-12-12,C605,3.23
20185947,fn-Zhr,ln-Tcwnbpmg,1996-12-30,C304,1.6
20204542,fn-Nom,ln-Sjcj,2005-03-15,C503,0.78
20194973,fn-Wdek,ln-Wyukolq,2004-12-18,C401,3.84
20192306,fn-Gfqfg,ln-Hxsrkzecn,1997-07-29,C203,2.74
20181056,fn-Lcgu,ln-Yvdcwufu,1990-05-01,C603,2.33
20202657,fn-Xiv,ln-Zvfkuptn,2010-04-08,C202,0.36
20195188,fn-Unufrthj,ln-Xwm,1992-06-14,C603,3.81
20181907,fn-Fokwdry,ln-Pzyfvzpo,2007-11-25,C303,3.19
20193446,fn-Stvqrcrvdp,ln-Fngqltfq,2004-02-13,C401,2.17
20185995,fn-Ymzdjjp,ln-Uwzfzighbq,2007-12-08,C504,0.89
20185095,fn-Kmtiujmt,ln-Rjjgjl,2002-11-06,C405,0.61
20183749,fn-Ldo,ln-Nus,2001-11-28,C603,0.77
20191610,fn-Myohkvvgf,ln-Duiwffrsep,2000-06-20,C403,3.63
20193120,fn-Xovwtjvvzg,ln-Leqjcci,1991-12-25,C101,3.86
20193582,fn-Qiudlvqpo,ln-Oktlz,2009-11-06,C204,3.41
20205933,fn-Eob,ln-Cwpuguehj,2004-11-22,C403,3.71
20201087,fn-Dujvovupcz,ln-Grxrcrdgc,1992-11-19,C505,2.12
20193986,fn-Guiorhgtsy,ln-Terc,2001-10-11,C304,0.57
20182182,fn-Jeoqvxzdr,ln-Sepl,1997-10-30,C501,1.39
20181037,fn-Gwxiere,ln-Gtwsinqb,2009-04-21,C101,0.07
20185232,fn-Bzl,ln-Higyckhwyy,2010-09-26,C101,3.75
20191329,fn-Gsnvmxzy,ln-Dwpflxoiy,2010-08-10,C103,3.78
20183577,fn-Bkuj,ln-Qyrywwf,2006-09-25,C201,0.18
20193594,fn-Qql,ln-Ehtw,2005-07-08,C103,2.55
20202120,fn-Mslo,ln-Thef,1992-12-20,C405,2.43
20194103,fn-Nfcnr,ln-Elb,2004-06-15,C105,3.02
20195619,fn-Ojifpsb,ln-Hybkeke,1993-11-15,C601,0.37
20182324,fn-Cholc,ln-Eup,2004-02-15,C105,1.32
20182248,fn-Hvhv,ln-Vvwzoz,2002-01-14,C403,3.11
20184231,fn-Sxxktfuqfx,ln-Ccmw,1999-11-15,C501,3.35
20204848,fn-Gmdnm,ln-Pejzumj,2010-11-25,C501,0.18
20193113,fn-Nhvf,ln-Gpllu,1990-10-11,C105,2.09
20204784,fn-Cwjceclmd,ln-Msiep,1994-10-31,C403,0.9
20184658,fn-Btpwomnscn,ln-Yydpubp,2009-07-03,C304,2.03
20183921,fn-Zhopicxr,ln-Xezdi,2002-11-06,C304,1.32
20184688,fn-Dyngp,ln-Pvt,1997-04-12,C504,2.56
20203524,fn-Buxsbvq,ln-Ftionfep,1995-10-16,C602,3.44
20181683,fn-Xunstez,ln-Vkxq,1997-04-10,C203,0.99
20183680,fn-Qtshbneuq,ln-Pkevhdcj,1995-12-10,C505,2.21
20184798,fn-Vvspujbtl,ln-Cokiqrbvc,2003-11-15,C403,1.89
20192031,fn-Zwy,ln-Zqvmsbcbg,2006-07-03,C101,3.92
20182410,fn-Emlbt,ln-Bnxifgr,1996-11-16,C302,0.56
20182553,fn-Sbsdiqlyoh,ln-Hpgq,2006-02-24,C101,0.77
20201268,fn-Lkmqwdcdou,ln-Rjlbl,1991-10-13,C304,1.17
20185798,fn-Doqqiteb,ln-Cmqql,1993-07-24,C402,2.24
20192113,fn-Qwudh,ln-Wou,2002-08-17,C105,1.76
20181514,fn-Rnlnbzuxk,ln-Wevvggtk,2008-12-10,C601,1.72
20191238,fn-Rtgxq,ln-Nmicfwxw,2009-03-17,C603,3.18
20185756,fn-Uncwlhj,ln-Tqpcok,1998-02-26,C601,1.74
20181484,fn-Jzsrr,ln-Rkbvtfjc,2003-12-05,C304,0.1
20202362,fn-Ckdpg,ln-Nghxsnpk,2000-02-28,C105,0.63
20193955,fn-Cjxg,ln-Gloppf,1990-12-17,C402,2.13
20183132,fn-Tvukkwfplj,ln-Esbhi,2006-12-17,C605,1.27
20201048,fn-Ncfx,ln-Sqvcjvdc,1991-10-22,C402,3.76
20195098,fn-Bumc,ln-Guwdzu,2004-01-07,C104,2.75
20193014,fn-Syedzu,ln-Oegel,1995-01-11,C201,0.98
20183646,fn-Qvxdvgujip,ln-Dejhjkp,1994-12-18,C404,0.07
20195805,fn-Uzlkvokml,ln-Vbl,2010-06-09,C503,0.63
20204390,fn-Rnoutfk,ln-Gskdkjn,2000-01-01,C604,1.23
20185398,fn-Nyeec,ln-Nghejjq,2007-03-13,C104,2.37
20183102,fn-Rhjg,ln-Jozxil,1992-06-10,C502,0.22
20201490,fn-Rltoiw,ln-Iljk,2005-02-24,C403,0.15
20184381,fn-Upuqkihc,ln-Kdmbzo,1991-04-04,C603,1.44
20203196,fn-Dmqce,ln-Jywnnsd,1994-01-31,C603,3.01
20181423,fn-Rtvss,ln-Vsgdfqketd,2006-08-24,C604,1.17
20184264,fn-Uvwsngsw,ln-Zvgtxlpmhn,2010-06-27,C105,1.83
20191941,fn-Djq,ln-Jglhizb,2007-10-30,C302,2.31
20204642,fn-Rhrwxvwmd,ln-Ysyloirk,1992-05-21,C101,3.9
20194543,fn-Rds,ln-Rlenzugzs,2001-10-11,C301,1.66
20183695,fn-Cfsgk,ln-Ioeycqu,2000-02-26,C601,2.16
20203320,fn-Xzyswdmf,ln-Gxjcjk,2004-12-21,C104,1.5
20185215,fn-Wpnyme,ln-Imd,1990-06-05,C601,2.12
20194010,fn-Jberrnzbth,ln-Lkcgbd,1996-11-16,C402,0.49
20192242,fn-Fkmtmypz,ln-Ldmoxeh,1991-05-07,C201,0.47
20182117,fn-Ebmscech,ln-Uobgxxzzyq,1994-12-20,C201,0.05
20183777,fn-Bcoguj,ln-Hxedw,2001-08-18,C104,1.41
20201985,fn-Tzonnjspxm,ln-Esvgwt,1999-01-06,C302,1.85
20205597,fn-Sril,ln-Xtxxkbxizp,2004-04-22,C405,1.66
20203731,fn-Gjwqbqf,ln-Ihmexwluv,1999-04-30,C401,2.59
20203523,fn-Xvkpiyhzxc,ln-Diecluyr,1990-08-20,C404,3.17
20195436,fn-Bsglrygf,ln-Bdwuheextl,2009-02-29,C301,0.37
20193329,fn-Zhhpqbp,ln-Nht,1996-10-10,C201,0.29
20192850,fn-Ptjfk,ln-Lfyrv,2004-02-26,C105,1.7
20205820,fn-Ehmrofoojm,ln-Sxbqe,2004-10-25,C505,2.44
20192485,fn-Frtoty,ln-Ddlr,2010-10-09,C105,2.49
20184521,fn-Fjvjgtidx,ln-Ejphwqk,1991-10-29,C201,0.24
20183754,fn-Jgnzyxxuq,ln-Hiugcjxilg,2010-04-24,C305,0.53
20185410,fn-Dyupqvbki,ln-Wgm,2009-11-27,C101,3.49
20181618,fn-Tcgbb,ln-Cbwvgecw,1993-04-18,C605,1.41
20181366,fn-Ehtugzryew,ln-Hoqx,1997-12-09,C102,3.84
20195620,fn-Uxkxr,ln-Elrdhuckb,1993-05-16,C101,3.83
20202654,fn-Ophvjy,ln-Wfwzjmmg,1992-04-03,C504,0.66
20205823,fn-Tgpbgyyvl,ln-Bslotln,1991-12-02,C501,2.84
20181243,fn-Hnzlkue,ln-Rqnegwksc,1995-04-01,C405,0.9
20201609,fn-Wbp,ln-Tfqqfhju,1998-10-18,C301,2.0
20184421,fn-Fwsqg,ln-Qegmksfmku,1990-12-22,C401,3.42
20181050,fn-Ozeczx,ln-Buuyhfewuk,2007-11-18,C104,1.68
20191655,fn-Mtkpp,ln-Zwvkor,2003-05-21,C404,1.56
20182151,fn-Uomsxfsfrb,ln-Olw,1991-02-13,C605,0.16
20194632,fn-Qmprxhnsmz,ln-Loffvsdh,2000-06-21,C104,0.76
20202898,fn-Zew,ln-Vztv,2003-06-30,C505,3.91
20195060,fn-Jhmgkqnh,ln-Txp,1999-07-10,C405,1.79
20184542,fn-Fpnznv,ln-Vjjqug,1995-05-14,C203,2.2
20191731,fn-Xcri,ln-Lqryt,1995-10-30,C101,1.54
20185434,fn-Yegll,ln-Ukb,1997-11-13,C404,2.24
20201589,fn-Gok,ln-Ftrllrkpeb,2010-08-04,C301,3.07
20201803,fn-Wvqtn,ln-Ezoeo,2002-11-15,C403,1.48
20195355,fn-Sjfjtgmyj,ln-Ptmdwfrj,1990-05-30,C305,1.51
20194644,fn-Klpyf,ln-Zqb,1993-11-28,C103,0.62
20195560,fn-Uzkz,ln-Fptfvqy,1991-06-27,C303,3.54
20181410,fn-Yjitf,ln-Lczstcfbi,2000-04-16,C503,3.53
20193010,fn-Evtbuyp,ln-Tcuxt,1997-05-28,C605,0.56
20205129,fn-Ovxetoyzh,ln-Msk,2005-06-14,C605,2.36
20194503,fn-Rzityfnjfh,ln-Plnbt,1995-11-23,C505,0.48
20183868,fn-Srisxz,ln-Grckcvrhjp,2003-10-21,C302,3.3
20191556,fn-Vwz,ln-Fvbm,1996-01-24,C103,3.18
20202950,fn-Xbckjm,ln-Uylxtydbo,2010-11-11,C603,3.4
20185393,fn-Igozfyumtk,ln-Vobjkyzps,2009-08-29,C302,0.58
20183500,fn-Locuksngh,ln-Xdexbl,1990-07-24,C104,2.39
20203215,fn-Rucwcfju,ln-Nrfq,1992-12-08,C302,2.26
20184994,fn-Vbrs,ln-Pmive,2004-12-27,C102,3.02
20193842,fn-Cuzmt,ln-Doksi,1990-12-24,C601,0.04
20203050,fn-Uzdvlpkrue,ln-Drsmwpm,2000-04-20,C204,2.98
20181646,fn-Cfyrek,ln-Rpbbcpcgzw,1994-11-24,C101,1.81
20194790,fn-Knplymvkg,ln-Wgurorjy,2000-12-06,C202,1.17
20181074,fn-Gogetldyrh,ln-Kfwcs,1995-12-21,C301,1.0
20204834,fn-Mcidzq,ln-Wcn,2006-02-28,C504,3.05
20195183,fn-Ybyfzoygi,ln-Fcfbumz,1992-12-08,C105,1.98
20193893,fn-Siidj,ln-Smpge,1991-05-31,C305,2.98
20183904,fn-Tsbghrtgt,ln-Krlnctt,2009-09-11,C305,2.91
20195943,fn-Kqjktkfpl,ln-Kbqjrknj,2006-11-18,C203,2.21
20194848,fn-Mncxmmpcfr,ln-Yowxsl,1995-06-20,C605,2.75
20202855,fn-Qxnvpvqzyq,ln-Gqcdcztw,1992-04-12,C103,0.45
20192975,fn-Qdktjth,ln-Tbjwrenwkt,1991-12-31,C204,0.76
20183099,fn-Esvgeopkgh,ln-Fsffxpwx,2000-08-20,C304,2.83
20195290,fn-Fkenj,ln-Dtyopkwgw,2002-12-15,C204,2.81
20205181,fn-Yjw,ln-Vzwcx,1998-04-17,C202,0.2
20193336,fn-Itpjwtyek,ln-Sflz,2006-12-16,C603,2.31
20193976,fn-Xxwvgmyxl,ln-Tlt,1995-12-29,C303,1.21
20181879,fn-Tvhx,ln-Lli,2007-02-24,C605,1.77
20204306,fn-Ellmnmstf,ln-Iswir,1994-11-04,C401,0.09
20191257,fn-Zjwdkxfiqj,ln-Hizn,1999-05-16,C104,1.18
20184376,fn-Hnrc,ln-Brm,2001-12-19,C601,2.55
20185816,fn-Mnzubof,ln-Ztgbbdvdi,2009-11-28,C105,3.41
20194954,fn-Cqkxpo,ln-Kzntmnm,1991-11-06,C203,2.97
20182858,fn-Zhkyv,ln-Nfvvbue,2004-10-17,C105,1.11
20202900,fn-Qgm,ln-Vyery,2006-11-26,C601,3.75
20184627,fn-Uczqjxy,ln-Pipwhuvhyv,2001-03-09,C305,3.33
20205161,fn-Vjbhui,ln-Chix,2000-12-31,C303,3.54
20202223,fn-Jehwld,ln-Zimsokxys,2002-08-21,C304,1.11
20203561,fn-Rxgzqwbm,ln-Fznfbfcqn,2000-11-08,C202,1.28
20184033,fn-Mwebzogiz,ln-Ogkjnxjgyt,2009-11-30,C403,0.08
20183780,fn-Rstgrjvbg,ln-Extxsczse,1990-07-16,C101,2.96
20205144,fn-Vkm,ln-Qcwdihqueh,1993-10-07,C503,1.87
20182673,fn-Egw,ln-Nuvbx,1995-12-19,C204,2.59
20183520,fn-Gcy,ln-Vozvz,2007-10-16,C105,3.79
20192789,fn-Cdmqonk,ln-Egxjv,1992-03-02,C602,2.71
20184266,fn-Ehgrobb,ln-Sbngtn,2001-12-09,C502,2.59
20185534,fn-Eupprwx,ln-Dzjtlst,1997-12-11,C202,1.71
20184509,fn-Ubhm,ln-Ojnssu,2000-12-11,C305,1.76
20181353,fn-Scb,ln-Uneudikqvi,2007-10-20,C603,2.79
20201431,fn-Bhntj,ln-Ljcgpzibp,1997-04-02,C203,3.72
20195623,fn-Dygnknj,ln-Stgscwms,1995-10-14,C305,2.52
20191947,fn-Kdrtif,ln-Excgje,2000-07-21,C503,2.22
20195788,fn-Lwwxgoedvx,ln-Ukeumr,1990-12-16,C502,2.35
20203543,fn-Gedod,ln-Rzjhzyty,2008-11-27,C105,1.52
20204300,fn-Nrv,ln-Kptrx,2009-01-04,C205,2.63
20193799,fn-Cpw,ln-Dmpdiyv,1992-08-12,C404,0.75
20191727,fn-Tukbtm,ln-Rgcyt,1998-08-05,C101,3.05
20194331,fn-Lpk,ln-Iemulpq,2001-11-08,C604,0.71
20205474,fn-Tlbh,ln-Mvojrkzkbg,1993-08-24,C504,3.28
20192831,fn-Gcjnvxfynr,ln-Xxcrd,1994-08-28,C405,1.7
20205860,fn-Kfpzh,ln-Uqdskxss,2001-11-15,C302,2.58
20193480,fn-Rfygdkye,ln-Mpjzvfpxk,2000-10-18,C401,2.81
20203861,fn-Koftfju,ln-Ttimxzyqjc,1991-03-19,C504,1.57
20203614,fn-Rldj,ln-Bbmhgeb,2003-05-20,C304,3.26
20184144,fn-Mkxzgutfd,ln-Hlcbxnt,2003-07-07,C504,0.85
20181538,fn-Muwrmxuvgu,ln-Ojlp,2009-10-26,C202,3.03
20192138,fn-Toccxprrir,ln-Jkftznh,1996-09-03,C502,3.05
20185665,fn-Wuuhy,ln-Ibkxtbp,1991-10-17,C101,1.22
20192647,fn-Xfplspbj,ln-Mjqmec,1996-12-16,C405,2.67
20205201,fn-Ubvlhhyznr,ln-Jqtgdcfywj,1998-11-20,C305,3.28
20181836,fn-Eux,ln-Tsl,1994-05-30,C303,3.46
20201641,fn-Hxjhodlboj,ln-Cizgbko,1995-02-25,C602,2.35
20194452,fn-Xnzgvzhi,ln-Ccfivm,2008-10-04,C503,2.01
20182920,fn-Wtmfd,ln-Qkfbu,1990-09-10,C503,3.58
20194852,fn-Pyjcj,ln-Vuk,2009-05-21,C203,0.66
20201210,fn-Tijui,ln-Gkfhzu,2009-05-02,C302,1.82
20193950,fn-Iqy,ln-Rvrw,1994-06-25,C503,3.21
20185085,fn-Qhmltooxps,ln-Rnylebhr,1990-08-07,C404,1.82
20204255,fn-Ghelzkplpv,ln-Gjqfptes,2009-10-08,C202,1.17
20191242,fn-Ebo,ln-Sbdgdyknmx,1991-01-18,C404,3.99
20192727,fn-Euwqvevsfb,ln-Frtqego,2007-06-21,C105,2.94
20182792,fn-Jfoimb,ln-Nlc,2008-08-10,C602,3.19
20185152,fn-Htq,ln-Jnmfduy,2001-04-02,C605,2.98
20195460,fn-Xlm,ln-Devcqydg,2000-10-08,C303,1.08
20201051,fn-Vjv,ln-Jlvjenc,2008-11-01,C205,0.2
20184844,fn-Prm,ln-Tes,2007-12-05,C203,0.48
20193822,fn-Pbljydnmqd,ln-Upnfffh,1996-12-19,C402,2.91
20184448,fn-Zpp,ln-Borwvpkqpt,1995-03-29,C604,2.19
20202314,fn-Rkkolegel,ln-Ngygipumz,1997-03-16,C502,3.13
20194585,fn-Wxhvpdfyn,ln-Orjzuetk,2004-11-15,C603,0.45
20183046,fn-Dcjll,ln-Rmgy,2002-09-13,C101,2.56
20205590,fn-Vcl,ln-Oipesjnp,2010-12-21,C502,3.47
20183524,fn-Evojsvly,ln-Cdevcyw,1990-02-26,C603,1.52
20205373,fn-Tlool,ln-Bcsvberp,1991-11-07,C601,0.97
20181445,fn-Qgvuwfmdcj,ln-Mvtvlkmysr,2010-12-03,C604,3.13
20205272,fn-Zgyihyw,ln-Tczziiubmo,1993-07-26,C301,1.08
20195457,fn-Srmlpq,ln-Guyiujqe,2000-12-26,C203,2.73
20195497,fn-Yiesgxr,ln-Nqv,1990-11-28,C505,1.79
20192276,fn-Cmtc,ln-Kihtodkb,1990-11-25,C105,0.34
20203563,fn-Pvqpysmwi,ln-Pesfhoo,1998-04-30,C101,0.93
20205631,fn-Jxxclfjvk,ln-Vzorptmfxq,2007-12-25,C102,3.97
20205917,fn-Zuduxneqk,ln-Xvddmfu,2004-04-21,C604,0.56
20202408,fn-Rmcwioisw,ln-Ciicin,1997-06-06,C502,3.31
20193117,fn-Fnil,ln-Inpukw,1990-01-12,C103,2.88
20191755,fn-Dbiwypus,ln-Wkbxnfqd,2007-11-21,C603,2.68
20203099,fn-Pnxtxkn,ln-Fihdyum,1997-10-30,C602,2.59
20191790,fn-Xmj,ln-Lzkmotddme,2001-11-27,C505,3.4
20202576,fn-Ydex,ln-Ezriyn,1991-11-08,C101,2.72
20192364,fn-Xqvrwzgkjg,ln-Qffkkhje,1993-06-29,C604,2.3
20182349,fn-Pejj,ln-Kjxyxpli,1993-02-21,C503,0.54
20201573,fn-Vkuhktrbic,ln-Xtxqy,2004-10-05,C203,0.68
20191433,fn-Htocbrj,ln-Hlcql,2009-11-18,C501,1.96
20181895,fn-Nys,ln-Fpqed,2000-10-30,C403,0.23
20193744,fn-Jnlyntvob,ln-Otditlgo,2006-03-26,C602,0.9
20181206,fn-Rynxjgnlmb,ln-Qxbn,2001-09-16,C502,2.13
20205260,fn-Keww,ln-Pbyxbblw,2008-12-05,C303,2.1
20203601,fn-Kqig,ln-Kwpdoffpwt,2006-12-12,C503,0.98
20193211,fn-Ryjlpvz,ln-Dvikdsskvw,1996-04-30,C303,0.48
20202575,fn-Mgssdckzqi,ln-Bdd,2004-11-17,C205,1.78
20182554,fn-Esphkhwvo,ln-Htwloevog,2008-02-26,C205,0.84
20204712,fn-Chkzhcfjm,ln-Cpxuredxfh,1996-03-03,C304,1.13
20185425,fn-Hxbqerlzs,ln-Lysbnel,2008-11-22,C404,2.82
20193219,fn-Xonprqm,ln-Zbysdqju,1992-12-01,C403,1.03
20205627,fn-Wrylxn,ln-Xepkd,2007-11-30,C601,1.06
20184063,fn-Dwvbq,ln-Snvuq,1997-12-24,C502,2.47
20202689,fn-Fhv,ln-Mwkbsje,2001-11-02,C303,2.65
20193426,fn-Ihevxs,ln-Gvnzwgup,2003-12-27,C501,1.51
20204217,fn-Sybdyofq,ln-Etqcvujrdd,1991-07-16,C205,0.97
20205375,fn-Tuppsirfq,ln-Dwnh,1998-03-26,C605,2.28
20204756,fn-Rvksdn,ln-Dcpwsornpb,2010-07-26,C403,3.08
20204216,fn-Dnb,ln-Njngdoko,1996-05-29,C102,1.24
20195448,fn-Cfmwrkcfgb,ln-Ffr,1996-07-29,C105,0.55
